id,legacy_id,name,year,md5
549640b8-fd9c-4245-acfd-60e4bc38b25c,2,Moto2™,2026,2fc44e184b22f5b3d56d4e0c99974212
954f7e65-2ef2-4423-b949-4961cc603e45,1,Moto3™,2026,8d0113b0fdc6f847c1101b3c5a0e9e18
e8c110ad-64aa-4e8e-8a86-f2f152f6a942,3,MotoGP™,2026,de2c6688bbdbf9e230b42c72d61d6297
